receita,arquivo,pagina_fonte,autor,licenca,url_licenca,titulo_wikimedia,status
Baião de dois com queijo coalho,Baião de dois com queijo coalho.jpg,https://commons.wikimedia.org/wiki/File:Baiao_De_Dois_@_Minhoc%C3%A3o_-_Cultura_Gastron%C3%B4mica_-_Virada_Cultural_2012_(7003753616).jpg,"Wagner Tamanaha from Sao Paulo, Brazil",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,File:Baiao De Dois @ Minhocão - Cultura Gastronômica - Virada Cultural 2012 (7003753616).jpg,OK — conferir visualmente antes de publicar
Bobó de camarão aveludado,Bobó de camarão aveludado.jpg,https://commons.wikimedia.org/wiki/File:Assis_Lima_Bobo_de_Camar%C3%A3ol_RioBranco_(26992971238).jpg,MTur Destinos,Public domain,,File:Assis Lima Bobo de Camarãol RioBranco (26992971238).jpg,OK — conferir visualmente antes de publicar
Tapioca com queijo coalho tostado e coco,Tapioca com queijo coalho tostado e coco.jpg,https://commons.wikimedia.org/wiki/File:Tapioca_com_queijo_coalho_9354_orig.jpg,Silvagc,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Tapioca com queijo coalho 9354 orig.jpg,APROXIMADA — conferir prato/ingredientes
Brigadeiro de colher,Brigadeiro de colher.jpg,https://commons.wikimedia.org/wiki/File:BrigadeiroBrazil.jpg,VitorTo,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,File:BrigadeiroBrazil.jpg,APROXIMADA — conferir prato/ingredientes
Pudim de leite,Pudim de leite.jpg,https://commons.wikimedia.org/wiki/File:Pudim_de_Leite.jpg,Josef Schober,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,File:Pudim de Leite.jpg,OK — conferir visualmente antes de publicar
Caldo verde com paio e couve fina,Caldo verde com paio e couve fina.jpg,https://commons.wikimedia.org/wiki/File:CaldoVerdeChristmasSoup.jpg,Photo by M. Rehemtulla. Soup by Marlene.,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:CaldoVerdeChristmasSoup.jpg,OK — conferir visualmente antes de publicar
Café coado perfeito,Café coado perfeito.jpg,https://commons.wikimedia.org/wiki/File:Single_Serving_Pour_Over_Coffee.jpg,JoeSeyd,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Single Serving Pour Over Coffee.jpg,OK — conferir visualmente antes de publicar
Ovos mexidos cremosos,Ovos mexidos cremosos.jpg,https://commons.wikimedia.org/wiki/File:Liat_Portal_for_Foodie_Disorder_-_Breakfast_in_Israel_scrambled_eggs_with_herbs_and_vegetables.jpg,HaJunkiyada,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Liat Portal for Foodie Disorder - Breakfast in Israel scrambled eggs with herbs and vegetables.jpg,OK — conferir visualmente antes de publicar
Torrada de abacate,Torrada de abacate.jpg,https://commons.wikimedia.org/wiki/File:Avocado_Toast_Melbourne.jpg,Finbar Concaig,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Avocado Toast Melbourne.jpg,OK — conferir visualmente antes de publicar
Panqueca de banana,Panqueca de banana.jpg,https://commons.wikimedia.org/wiki/File:Banana_egg_pancakes_(17024234376).jpg,sunny mama,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,File:Banana egg pancakes (17024234376).jpg,OK — conferir visualmente antes de publicar
Omelete de forno,Omelete de forno.jpg,https://commons.wikimedia.org/wiki/File:Baked_Moroccan_Omelette_with_Haloumi%2C_Tomatoes_and_Capsicums.jpg,Alpha,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,"File:Baked Moroccan Omelette with Haloumi, Tomatoes and Capsicums.jpg",OK — conferir visualmente antes de publicar
Waffles dourados caseiros,Waffles dourados caseiros.jpg,https://commons.wikimedia.org/wiki/File:Waffles_(1).jpg,Renee Comet (Photographer),Public domain,,File:Waffles (1).jpg,OK — conferir visualmente antes de publicar
Toast com ovo pochê e espinafre,Toast com ovo pochê e espinafre.jpg,"https://commons.wikimedia.org/wiki/File:-2020-01-12_Poached_egg,_bacon_and_spinch_on_wholegrain_toast,_Trimingham_(1).JPG","Kolforn (Kolforn)
I'd appreciate if you could mail me (Kolforn@gmail.com) if you want to use this picture out of the Wikimedia project scope.



 This file is licensed under the Creative Commons Attribution-Share Alike 4.0 International license.
You are free:
to share – to copy, distribute and transmit the work
to remix – to adapt the work
Under the following conditions:
attribution – You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use.
share alike – If you remix, transform, or build upon the material, you must distribute your contributions under the same or compatible license as the original.https://creativecommons.org/licenses/by-sa/4.0CC BY-SA 4.0 Creative Commons Attribution-Share Alike 4.0 truetrue",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"File:-2020-01-12 Poached egg, bacon and spinch on wholegrain toast, Trimingham (1).JPG",OK — conferir visualmente antes de publicar
Misto quente de padaria na frigideira,Misto quente de padaria na frigideira.jpg,https://commons.wikimedia.org/wiki/File:Grilled_cheese_sandwiches.jpg,Jon Sullivan,Public domain,,File:Grilled cheese sandwiches.jpg,OK — conferir visualmente antes de publicar
Tigela de iogurte natural com granola caseira,Tigela de iogurte natural com granola caseira.jpg,"https://commons.wikimedia.org/wiki/File:Yogurt,_fruit,_granola_bowl_(34999358091).jpg",T.Tseng,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"File:Yogurt, fruit, granola bowl (34999358091).jpg",OK — conferir visualmente antes de publicar
Crepioca recheada com queijo e orégano,Crepioca recheada com queijo e orégano.jpg,https://commons.wikimedia.org/wiki/File:Tapioca_com_queijo_coalho_9354_orig.jpg,Silvagc,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Tapioca com queijo coalho 9354 orig.jpg,APROXIMADA — conferir prato/ingredientes
Hambúrguer com pão comprado,Hambúrguer com pão comprado.jpg,https://commons.wikimedia.org/wiki/File:Big_Mac_hamburger.jpg,Evan-Amos,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,File:Big Mac hamburger.jpg,OK — conferir visualmente antes de publicar
Hambúrguer japonês fácil,Hambúrguer japonês fácil.jpg,https://commons.wikimedia.org/wiki/File:Hamburger_in_Japanese_Style.JPG,Ceeseven,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Hamburger in Japanese Style.JPG,OK — conferir visualmente antes de publicar
Hambúrguer de frango crocante,Hambúrguer de frango crocante.jpg,https://commons.wikimedia.org/wiki/File:%22_15_-_ITALY_-_fried_chicken_Burger_crispy_in_Via_Carlo_Farini_(Milan)_front_view_.jpg,Pava,CC BY-SA 3.0 it,https://creativecommons.org/licenses/by-sa/3.0/it/deed.en,"File:"" 15 - ITALY - fried chicken Burger crispy in Via Carlo Farini (Milan) front view .jpg",OK — conferir visualmente antes de publicar
Cheeseburger de carne,Cheeseburger de carne.jpg,https://commons.wikimedia.org/wiki/File:Cheeseburger.jpg,Renee Comet (photographer),Public domain,,File:Cheeseburger.jpg,OK — conferir visualmente antes de publicar
Smash burger duplo com cheddar,Smash burger duplo com cheddar.jpg,https://commons.wikimedia.org/wiki/File:C_N_Cheese_burger_and_%22smash_browns%22_at_BurgerFuel_(Courtenay_Place).jpg,Fourthords,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"File:C N Cheese burger and ""smash browns"" at BurgerFuel (Courtenay Place).jpg",OK — conferir visualmente antes de publicar
Pão de hambúrguer brioche artesanal,Pão de hambúrguer brioche artesanal.jpg,https://commons.wikimedia.org/wiki/File:Brioche_buns.jpg,Fitzhenrymort,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Brioche buns.jpg,OK — conferir visualmente antes de publicar
Pão rústico de panela,Pão rústico de panela.jpg,https://commons.wikimedia.org/wiki/File:(Artisan_bread).JPG,David Adam Kess,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:(Artisan bread).JPG,OK — conferir visualmente antes de publicar
Pão de batata fofinho,Pão de batata fofinho.jpg,https://commons.wikimedia.org/wiki/File:Bread_Potato_Roll.jpg,Amit154,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Bread Potato Roll.jpg,OK — conferir visualmente antes de publicar
Brownie de chocolate,Brownie de chocolate.jpg,https://commons.wikimedia.org/wiki/File:Chocolate_brownies.jpg,en:User:Gdr,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,File:Chocolate brownies.jpg,OK — conferir visualmente antes de publicar
Bolo simples de baunilha,Bolo simples de baunilha.jpg,https://commons.wikimedia.org/wiki/File:Vannila_cake_slices.jpg,Olgatladi2020,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Vannila cake slices.jpg,OK — conferir visualmente antes de publicar
Red velvet de festa,Red velvet de festa.jpg,https://commons.wikimedia.org/wiki/File:Red_velvet_cake_slice.jpg,Flickr user ~Twon~ : https://www.flickr.com/photos/twon/,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Red velvet cake slice.jpg,OK — conferir visualmente antes de publicar
Cookies com chocolate,Cookies com chocolate.jpg,https://commons.wikimedia.org/wiki/File:Chocolate_chip_cookie.jpg,Renee Comet (Photographer),Public domain,,File:Chocolate chip cookie.jpg,OK — conferir visualmente antes de publicar
Torta de limão,Torta de limão.jpg,https://commons.wikimedia.org/wiki/File:Lemon_Meringue_Pie.jpg,Scott Akerman,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Lemon Meringue Pie.jpg,OK — conferir visualmente antes de publicar
Doce de leite com banana grelhada,Doce de leite com banana grelhada.jpg,https://commons.wikimedia.org/wiki/File:Grilled_banana_(1417674861).jpg,"Kim Scarborough from Chicago, IL",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,File:Grilled banana (1417674861).jpg,APROXIMADA — conferir prato/ingredientes
Mousse de maracujá,Mousse de maracujá.jpg,https://commons.wikimedia.org/wiki/File:Mousse_de_maracuj%C3%A1.jpg,Melsj,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Mousse de maracujá.jpg,OK — conferir visualmente antes de publicar
Mousse de chocolate rápida,Mousse de chocolate rápida.jpg,https://commons.wikimedia.org/wiki/File:Chocolate_mousse.jpg,Flickr user scribacchina,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Chocolate mousse.jpg,OK — conferir visualmente antes de publicar
Gelatina colorida com creme,Gelatina colorida com creme.jpg,https://commons.wikimedia.org/wiki/File:Gelatina_Colorida_%40_Rama_Refei%C3%A7%C3%B5es_(7633762678).jpg,"Wagner Tamanaha from Sao Paulo, Brazil",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,File:Gelatina Colorida @ Rama Refeições (7633762678).jpg,OK — conferir visualmente antes de publicar
Mousse de limão refrescante,Mousse de limão refrescante.jpg,https://commons.wikimedia.org/wiki/File:Lemon_mousse_with_peach_compote_(4455679740).jpg,Vegan Feast Catering,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Lemon mousse with peach compote (4455679740).jpg,APROXIMADA — conferir prato/ingredientes
Gelatina de morango com frutas frescas,Gelatina de morango com frutas frescas.jpg,https://commons.wikimedia.org/wiki/File:Gelatina_de_frutas.jpg,PapiPijuan,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Gelatina de frutas.jpg,APROXIMADA — conferir prato/ingredientes
Cheesecake com calda de frutas vermelhas,Cheesecake com calda de frutas vermelhas.jpg,https://commons.wikimedia.org/wiki/File:Berry_cheesecake.jpg,Quinn Dombrowski,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,File:Berry cheesecake.jpg,OK — conferir visualmente antes de publicar
Petit gâteau com coração derretido,Petit gâteau com coração derretido.jpg,https://commons.wikimedia.org/wiki/File:Chocolate_lava_cake.jpg,sanctumsolitude,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Chocolate lava cake.jpg,OK — conferir visualmente antes de publicar
Pavê de chocolate de vó,Pavê de chocolate de vó.jpg,https://commons.wikimedia.org/wiki/File:Pav%C3%AA_de_chocolate_close-up.png,Avelludo,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Pavê de chocolate close-up.png,OK — conferir visualmente antes de publicar
Palha italiana com biscoito crocante,Palha italiana com biscoito crocante.jpg,https://commons.wikimedia.org/wiki/File:Palha_Italiana.jpg,Londonjackbooks,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,File:Palha Italiana.jpg,OK — conferir visualmente antes de publicar
Cocada cremosa de colher,Cocada cremosa de colher.jpg,https://commons.wikimedia.org/wiki/File:Cocada_branca_-_iguaria_brasileira_(1).jpg,Sintegrity,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Cocada branca - iguaria brasileira (1).jpg,APROXIMADA — conferir prato/ingredientes
Café gelado cremoso (Iced Coffee),Café gelado cremoso (Iced Coffee).jpg,https://commons.wikimedia.org/wiki/File:Iced_coffee.jpg,Kim Dae Jeung,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,File:Iced coffee.jpg,OK — conferir visualmente antes de publicar
Capuccino cremoso caseiro,Capuccino cremoso caseiro.jpg,https://commons.wikimedia.org/wiki/File:Cappuccino_picture.jpg,Mgmoscatello,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,File:Cappuccino picture.jpg,OK — conferir visualmente antes de publicar
Affogato de domingo,Affogato de domingo.jpg,https://commons.wikimedia.org/wiki/File:Affogato_with_Amarretti_Biscotti_-_Tavola_Di_Famiglia_2026-02-27.jpg,Andy Li,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,File:Affogato with Amarretti Biscotti - Tavola Di Famiglia 2026-02-27.jpg,OK — conferir visualmente antes de publicar
Chocolate quente cremoso de inverno,Chocolate quente cremoso de inverno.jpg,https://commons.wikimedia.org/wiki/File:Hot_chocolate_drink.jpg,AlekhyaDas,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Hot chocolate drink.jpg,OK — conferir visualmente antes de publicar
Matcha latte aveludado,Matcha latte aveludado.jpg,https://commons.wikimedia.org/wiki/File:Matcha_latte.jpg,Noriko YAMAMOTO,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Matcha latte.jpg,OK — conferir visualmente antes de publicar
Chá gelado de pêssego com hortelã,Chá gelado de pêssego com hortelã.jpg,https://commons.wikimedia.org/wiki/File:A_iced_peach_tea.jpg,Geoffreyrabbit,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:A iced peach tea.jpg,OK — conferir visualmente antes de publicar
Ratatouille provençal aromático,Ratatouille provençal aromático.jpg,https://commons.wikimedia.org/wiki/File:Ratatouille_home_cooked.jpg,Jack145945,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,File:Ratatouille home cooked.jpg,OK — conferir visualmente antes de publicar
Quiche Lorraine clássica de bistrô,Quiche Lorraine clássica de bistrô.jpg,https://commons.wikimedia.org/wiki/File:Quiche_de_Lorraine.jpg,Donna Alvita,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Quiche de Lorraine.jpg,OK — conferir visualmente antes de publicar
Croque Monsieur tostado de bistrô,Croque Monsieur tostado de bistrô.jpg,https://commons.wikimedia.org/wiki/File:Croque_monsieur.jpg,Michael Brewer,CC BY-SA 2.5,https://creativecommons.org/licenses/by-sa/2.5,File:Croque monsieur.jpg,OK — conferir visualmente antes de publicar
Crêpe Suzette com calda de laranja,Crêpe Suzette com calda de laranja.jpg,https://commons.wikimedia.org/wiki/File:Crepe_suzette.jpg,Misaochaaan,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,File:Crepe suzette.jpg,OK — conferir visualmente antes de publicar
Sopa de cebola gratinada (Soupe à l’Oignon),Sopa de cebola gratinada (Soupe à l’Oignon).jpg,https://commons.wikimedia.org/wiki/File:Gratin%C3%A9e_d%27oignons.jpg,Nikchick,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,File:Gratinée d'oignons.jpg,OK — conferir visualmente antes de publicar
Croissant amanteigado folhado,Croissant amanteigado folhado.jpg,https://commons.wikimedia.org/wiki/File:Butter_Croissant_(54408180656).jpg,The Marmot,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Butter Croissant (54408180656).jpg,OK — conferir visualmente antes de publicar
Pizza margherita autêntica,Pizza margherita autêntica.jpg,https://commons.wikimedia.org/wiki/File:Pizza_Margherita.jpg,Nicholas Gemini,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Pizza Margherita.jpg,OK — conferir visualmente antes de publicar
Risoto de cogumelos,Risoto de cogumelos.jpg,https://commons.wikimedia.org/wiki/File:Mushroom_risotto_(3990739885).jpg,Karen and Brad Emerson,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Mushroom risotto (3990739885).jpg,OK — conferir visualmente antes de publicar
Bruschetta al pomodoro crocante,Bruschetta al pomodoro crocante.jpg,https://commons.wikimedia.org/wiki/File:Tomato_Bruschetta.jpg,Michael_Spencer,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Tomato Bruschetta.jpg,OK — conferir visualmente antes de publicar
Penne ao pesto genovês perfumado,Penne ao pesto genovês perfumado.jpg,https://commons.wikimedia.org/wiki/File:Pesto_pasta.jpg,"Erika Herzog from New York, NY, United States",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Pesto pasta.jpg,OK — conferir visualmente antes de publicar
Risoto aos quatro queijos,Risoto aos quatro queijos.jpg,https://commons.wikimedia.org/wiki/File:Risotto_ai_quattro_formaggi.jpg,Number55,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,File:Risotto ai quattro formaggi.jpg,OK — conferir visualmente antes de publicar
Focaccia de alecrim e flor de sal,Focaccia de alecrim e flor de sal.jpg,https://commons.wikimedia.org/wiki/File:Rosemary_Focaccia.jpg,"Parkerman & Christie from San Diego, USA",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Rosemary Focaccia.jpg,OK — conferir visualmente antes de publicar
Polenta cremosa concia com queijo,Polenta cremosa concia com queijo.jpg,https://commons.wikimedia.org/wiki/File:Polenta_con_formaggio_01.jpg,Alessio Sbarbaro User_talk:Yoggysot,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,File:Polenta con formaggio 01.jpg,OK — conferir visualmente antes de publicar
Espaguete alla Puttanesca,Espaguete alla Puttanesca.jpg,https://commons.wikimedia.org/wiki/File:Spaghetti_alla_Puttanesca.jpg,Kai Olav Fredriksen,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Spaghetti alla Puttanesca.jpg,OK — conferir visualmente antes de publicar
Ravioli de ricota e espinafre na manteiga de sálvia,Ravioli de ricota e espinafre na manteiga de sálvia.jpg,https://commons.wikimedia.org/wiki/File:Ravioli_spinach_.jpg,Emnamizouni,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Ravioli spinach .jpg,APROXIMADA — conferir prato/ingredientes
Salada caprese clássica,Salada caprese clássica.jpg,https://commons.wikimedia.org/wiki/File:Ensalada_caprese%2C_Mazatl%C3%A1n%2C_17_de_mayo_de_2023.jpg,El Nuevo Doge,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,"File:Ensalada caprese, Mazatlán, 17 de mayo de 2023.jpg",OK — conferir visualmente antes de publicar
Carpaccio clássico com alcaparras,Carpaccio clássico com alcaparras.jpg,https://commons.wikimedia.org/wiki/File:Beef_Carpaccio_at_Petrus.jpg,Nick Webb,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Beef Carpaccio at Petrus.jpg,OK — conferir visualmente antes de publicar
Tiramisù de café,Tiramisù de café.jpg,https://commons.wikimedia.org/wiki/File:Tiramisu_dessert.jpg,Navneet Sharma,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Tiramisu dessert.jpg,OK — conferir visualmente antes de publicar
Lámen de missô,Lámen de missô.jpg,https://commons.wikimedia.org/wiki/File:Miso_ramen_1.jpg,karen_neoh,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Miso ramen 1.jpg,OK — conferir visualmente antes de publicar
Mochi de morango (Ichigo Daifuku),Mochi de morango (Ichigo Daifuku).jpg,https://commons.wikimedia.org/wiki/File:Ichigo_daifuku_001.jpg,Ocdp,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,File:Ichigo daifuku 001.jpg,OK — conferir visualmente antes de publicar
Curry japonês reconfortante (Kare Raisu),Curry japonês reconfortante (Kare Raisu).jpg,https://commons.wikimedia.org/wiki/File:Japanese_curry_rice_1_2021-11-28.jpeg,FASTILY,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Japanese curry rice 1 2021-11-28.jpeg,OK — conferir visualmente antes de publicar
Lámen Shoyu clássico,Lámen Shoyu clássico.jpg,https://commons.wikimedia.org/wiki/File:Shoyu_Ramen.jpg,Guilhem Vellut,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Shoyu Ramen.jpg,OK — conferir visualmente antes de publicar
Poke havaiano de salmão com toque japonês,Poke havaiano de salmão com toque japonês.jpg,https://commons.wikimedia.org/wiki/File:Salmon_Poke_Bowl_(S)_with_Spicy_mayo_sauce_-_Kitokito.jpg,Andy Li,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,File:Salmon Poke Bowl (S) with Spicy mayo sauce - Kitokito.jpg,OK — conferir visualmente antes de publicar
Karaage frango crocante japonês,Karaage frango crocante japonês.jpg,https://commons.wikimedia.org/wiki/File:Chicken_karaage_001.jpg,Ocdp,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,File:Chicken karaage 001.jpg,OK — conferir visualmente antes de publicar
Onigiri recheado com atum e maionese,Onigiri recheado com atum e maionese.jpg,https://commons.wikimedia.org/wiki/File:Three-onigiris.jpg,些細な日常,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Three-onigiris.jpg,APROXIMADA — conferir prato/ingredientes
Gyoza douradinho com fundo rendado,Gyoza douradinho com fundo rendado.jpg,https://commons.wikimedia.org/wiki/File:Small_Gyoza_dumplings.jpg,舌先現象になります,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,File:Small Gyoza dumplings.jpg,OK — conferir visualmente antes de publicar
Bife acebolado,Bife acebolado.jpg,https://commons.wikimedia.org/wiki/File:Onion_steak_at_restaurant_Salve.jpg,JIP,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Onion steak at restaurant Salve.jpg,OK — conferir visualmente antes de publicar
Frango à parmegiana,Frango à parmegiana.jpg,https://commons.wikimedia.org/wiki/File:Chicken_parmesan.jpg,Raul654,CC BY-SA 2.5,https://creativecommons.org/licenses/by-sa/2.5,File:Chicken parmesan.jpg,OK — conferir visualmente antes de publicar
Frango grelhado suculento,Frango grelhado suculento.jpg,https://commons.wikimedia.org/wiki/File:Grilled_chicken_breast%2C_Santo_Domingo%2C_La_Palma.jpg,Gerda Arendt,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,"File:Grilled chicken breast, Santo Domingo, La Palma.jpg",OK — conferir visualmente antes de publicar
Tacos de peixe,Tacos de peixe.jpg,https://commons.wikimedia.org/wiki/File:Fish_tacos_food_cabbage_tortillas.jpg,Jon Sullivan,Public domain,,File:Fish tacos food cabbage tortillas.jpg,OK — conferir visualmente antes de publicar
Sopa cremosa de abóbora,Sopa cremosa de abóbora.jpg,https://commons.wikimedia.org/wiki/File:Pumpkin_soup_.jpg,Emnamizouni,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Pumpkin soup .jpg,OK — conferir visualmente antes de publicar
Batata rústica com parmesão e alecrim,Batata rústica com parmesão e alecrim.jpg,https://commons.wikimedia.org/wiki/File:Roasted_potatoes.jpg,Emna Mizouni,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Roasted potatoes.jpg,OK — conferir visualmente antes de publicar
Estrogonofe de carne clássico,Estrogonofe de carne clássico.jpg,https://commons.wikimedia.org/wiki/File:Beef_Stroganoff.jpg,Alpha @ Flickr,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,File:Beef Stroganoff.jpg,OK — conferir visualmente antes de publicar
